SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
13-1082,"Project Management Specialists",41.2743077563,41.591787627,42.0273010177,0.435513390699,0.0104711390288,0.00608451678381,54.4154343989,"Bachelor's degree",None,None
13-1071,"Human Resources Specialists",41.2009238051,41.418269202,41.533435633,0.115166430953,0.00278057082471,0.0060736987736,40.3929065653,"Bachelor's degree",None,None
25-9044,"Teaching Assistants, Postsecondary",41.0179196669,40.3476633646,38.2215689337,-2.12609443086,-0.0526943632807,0.00604672093167,17.8362061673,"Bachelor's degree",None,None
43-4051,"Customer Service Representatives",40.0091386509,40.1226873832,39.5885158436,-0.534171539641,-0.0133134536712,0.00589800989674,22.1764055494,"High school diploma or equivalent",None,"Short-term on-the-job training"
25-9099,"Educational Instruction and Library Workers, All Other",38.3098348727,38.4679194536,38.5504635239,0.0825440702977,0.00214578982878,0.00564750436626,26.2404365302,"Bachelor's degree",None,None
27-3031,"Public Relations Specialists",37.75675958,37.8883554668,37.8606317952,-0.0277236716103,-0.000731720109483,0.00556597190493,40.3948847836,"Bachelor's degree",None,None
25-2012,"Kindergarten Teachers, Except Special Education",31.105263909,31.0631908389,30.57806403,-0.485126808863,-0.0156174171346,0.00458543124301,44.978647538,"Bachelor's degree",None,None
43-4199,"Information and Record Clerks, All Other",30.845326122,30.8237210011,30.4106414785,-0.413079522602,-0.013401351595,0.00454711210663,23.7008419508,"High school diploma or equivalent",None,"Short-term on-the-job training"
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",28.1667703746,28.7932725225,29.949467816,1.15619529355,0.0401550498521,0.00415224861195,28.2777055463,"Bachelor's degree",None,None
15-1299,"Computer Occupations, All Other",26.3507566545,26.1055107002,25.2496743484,-0.855836351801,-0.0327837429281,0.00388453810243,60.9376143038,"Bachelor's degree",None,None
29-1141,"Registered Nurses",25.8159727113,25.6722842754,25.0615166409,-0.610767634543,-0.0237909345343,0.00380570208906,54.3484828739,"Bachelor's degree",None,None
11-3031,"Financial Managers",25.7216618712,25.8078134884,25.9864717413,0.178658252899,0.00692264197352,0.00379179910871,79.3209756057,"Bachelor's degree","5 years or more",None
35-2012,"Cooks, Institution and Cafeteria",25.6886121172,25.5810364446,24.9893244083,-0.591712036333,-0.0231308859441,0.00378692702741,22.9694835188,"No formal educational credential",None,"Short-term on-the-job training"
11-9199,"Managers, All Other",25.6571463392,25.7244255873,25.6710227697,-0.0534028176473,-0.0020759576328,0.00378228845042,77.931619307,"Bachelor's degree","Less than 5 years",None
