SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
43-4131,"Loan Interviewers and Clerks",7.16167320403,7.30365208429,7.63320365322,0.329551568933,0.0451214769173,0.00116543655846,26.5461622057,"High school diploma or equivalent",None,"Short-term on-the-job training"
15-2051,"Data Scientists",7.01296533934,7.33472746533,8.34801137733,1.01328391201,0.138148815589,0.00114123696472,68.4412756836,"Bachelor's degree",None,None
37-1011,"First-Line Supervisors of Housekeeping and Janitorial Workers",7.00394249338,7.16653004825,7.56025294773,0.393722899479,0.0549391263036,0.00113976865498,26.9314844591,"High school diploma or equivalent","Less than 5 years",None
35-9021,Dishwashers,6.92539778261,7.02360144248,7.22564331278,0.202041870301,0.0287661354301,0.00112698688251,17.082,"No formal educational credential",None,"Short-term on-the-job training"
35-3023,"Fast Food and Counter Workers",6.79363935921,6.93057985232,7.26341479831,0.332834945993,0.0480241124243,0.00110554551271,16.578,"No formal educational credential",None,"Short-term on-the-job training"
39-9041,"Residential Advisors",6.75842458132,6.91781536863,7.31758005695,0.399764688325,0.0577877071045,0.00109981492596,22.9476732059,"High school diploma or equivalent",None,"Short-term on-the-job training"
47-4011,"Construction and Building Inspectors",6.73781377869,6.86360729927,7.13614611806,0.272538818787,0.0397078106167,0.00109646087975,44.5028155861,"High school diploma or equivalent","5 years or more","Moderate-term on-the-job training"
39-3091,"Amusement and Recreation Attendants",6.61513934521,6.74153869094,7.04347948872,0.301940797777,0.0447881131621,0.00107649776981,16.776,"No formal educational credential",None,"Short-term on-the-job training"
43-9199,"Office and Administrative Support Workers, All Other",6.59158179186,6.67248375846,6.77404315281,0.101559394355,0.0152206281845,0.00107266419166,23.0395266125,"High school diploma or equivalent",None,"Short-term on-the-job training"
43-3011,"Bill and Account Collectors",6.58784538499,6.6335389991,6.64485163328,0.0113126341767,0.0017053693629,0.00107205615705,20.352064309,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
23-2011,"Paralegals and Legal Assistants",6.15784699068,6.25834379273,6.45514512569,0.196801332955,0.0314462323376,0.00100208146894,37.3098481617,"Associate's degree",None,None
43-4151,"Order Clerks",6.01341806215,6.02509000877,5.92123314999,-0.103856858772,-0.0172373953951,0.000978578196922,20.7309580856,"Some college, no degree",None,"Short-term on-the-job training"
49-9099,"Installation, Maintenance, and Repair Workers, All Other",5.84108524004,5.91159351757,6.06287981757,0.151286299994,0.0255914584695,0.000950534056204,26.8651220387,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
11-3071,"Transportation, Storage, and Distribution Managers",5.59709684237,5.82536418915,6.4006256826,0.575261493452,0.0987511638369,0.000910829228801,64.3844869017,"High school diploma or equivalent","5 years or more",None
39-9032,"Recreation Workers",5.59646596963,5.74047341893,6.09698670875,0.356513289823,0.062105206976,0.000910726565341,19.5487083976,"High school diploma or equivalent",None,"Short-term on-the-job training"
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",5.53999800686,5.65241084381,5.92148444144,0.269073597633,0.0476033333508,0.000901537395949,17.2751771841,"No formal educational credential",None,"Short-term on-the-job training"
35-2012,"Cooks, Institution and Cafeteria",5.39146385838,5.52305450219,5.86470821228,0.341653710089,0.061859557959,0.000877366071472,22.9694835188,"No formal educational credential",None,"Short-term on-the-job training"
