SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
13-1071,"Human Resources Specialists",58.0580952989,59.348006126,62.8086169718,3.4606108458,0.058310482048,0.00361165830177,40.3929065653,"Bachelor's degree",None,None
21-1093,"Social and Human Service Assistants",57.2044044593,59.8145997595,66.711629267,6.89702950744,0.115306790235,0.00355855219155,22.941,"High school diploma or equivalent",None,"Short-term on-the-job training"
13-1082,"Project Management Specialists",56.3403435357,57.8364292172,61.4604032231,3.62397400591,0.0626590205337,0.00350480098267,54.4154343989,"Bachelor's degree",None,None
27-2041,"Music Directors and Composers",52.5560635671,53.1581953108,55.6297553626,2.47156005185,0.0464944311484,0.00326938977783,34.232726748,"Bachelor's degree","Less than 5 years",None
11-9199,"Managers, All Other",51.1922210387,52.1102540498,55.0220699858,2.91181593604,0.0558779838851,0.00318454832438,77.931619307,"Bachelor's degree","Less than 5 years",None
39-5011,Barbers,46.2708415909,46.9689693306,48.9007096881,1.93174035752,0.0411280124953,0.00287840082079,37.7225533555,"Postsecondary nondegree award",None,None
51-1011,"First-Line Supervisors of Production and Operating Workers",45.3129112455,46.535036658,50.4334117727,3.89837511469,0.0837729030567,0.00281881021475,35.2203066122,"High school diploma or equivalent","Less than 5 years",None
35-2014,"Cooks, Restaurant",43.1002014217,44.0837424104,47.2787165654,3.19497415507,0.0724751116937,0.00268116271248,20.0648388803,"No formal educational credential","Less than 5 years","Moderate-term on-the-job training"
35-3031,"Waiters and Waitresses",41.8298425485,42.8883804043,45.8790176028,2.99063719852,0.0697307095845,0.00260213665854,21.096,"No formal educational credential",None,"Short-term on-the-job training"
53-3032,"Heavy and Tractor-Trailer Truck Drivers",41.0303972327,41.6970875217,43.4498079351,1.75272041337,0.0420346004372,0.00255240503547,32.6376538698,"Postsecondary nondegree award",None,"Short-term on-the-job training"
41-2022,"Parts Salespersons",40.9582764684,41.168726047,41.6354648388,0.466738791798,0.0113372172669,0.00254791857142,20.958013197,"No formal educational credential",None,"Moderate-term on-the-job training"
31-1131,"Nursing Assistants",40.0827797475,40.3026605607,41.7370315073,1.43437094665,0.0355899815718,0.00249345596834,23.381730326,"Postsecondary nondegree award",None,None
35-2012,"Cooks, Institution and Cafeteria",39.103820486,39.5984045105,41.5146190508,1.91621454032,0.048391205757,0.00243255720261,22.9694835188,"No formal educational credential",None,"Short-term on-the-job training"
11-9151,"Social and Community Service Managers",38.747084944,40.3834538438,44.712555845,4.32910200118,0.107199894737,0.00241036551901,44.244,"Bachelor's degree","Less than 5 years",None
13-1151,"Training and Development Specialists",37.4830653614,38.5344397406,41.6088238621,3.07438412145,0.0797827642531,0.0023317338175,41.1552910592,"Bachelor's degree","Less than 5 years",None
39-4031,"Morticians, Undertakers, and Funeral Arrangers",36.4988628438,36.9985985266,38.5610924574,1.56249393081,0.0422311653151,0.00227050888109,27.3373026655,"Associate's degree",None,"Long-term on-the-job training"
49-3093,"Tire Repairers and Changers",36.3892017082,37.0164751056,38.5061821622,1.48970705657,0.0402444331159,0.00226368711835,19.8373557502,"High school diploma or equivalent",None,"Short-term on-the-job training"
33-9032,"Security Guards",36.076546264,36.4354770937,37.4604959171,1.02501882339,0.0281324386326,0.00224423755452,21.1356930588,"High school diploma or equivalent",None,"Short-term on-the-job training"
51-4121,"Welders, Cutters, Solderers, and Brazers",35.9902897949,36.7458076935,38.6154669606,1.86965926711,0.0508808864048,0.00223887174134,29.5930260812,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
11-3031,"Financial Managers",32.6856498821,33.8177928808,37.3307169054,3.51292402458,0.103877980357,0.00203329782243,79.3209756057,"Bachelor's degree","5 years or more",None
41-1011,"First-Line Supervisors of Retail Sales Workers",32.0504366275,32.7267627754,34.5955594215,1.8687966461,0.0571030095131,0.00199378269172,26.1248104996,"High school diploma or equivalent","Less than 5 years",None
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",30.8459733828,30.5867503235,29.9241341481,-0.662616175411,-0.021663503589,0.00191885585069,20.2490607094,"High school diploma or equivalent",None,"Short-term on-the-job training"
43-5071,"Shipping, Receiving, and Inventory Clerks",30.5279463641,30.6164306105,30.6625142884,0.0460836779029,0.00150519433468,0.00189907213377,22.6206934293,"High school diploma or equivalent",None,"Short-term on-the-job training"
27-2022,"Coaches and Scouts",29.8225485844,30.555370998,32.6115814952,2.05621049726,0.0672945681921,0.00185519098793,20.8787024107,"Bachelor's degree",None,None
43-5061,"Production, Planning, and Expediting Clerks",29.6442211411,29.8836565811,30.3298111783,0.446154597254,0.0149297190604,0.00184409765482,30.3895599164,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
11-2033,"Fundraising Managers",28.5527601974,29.5927475064,32.2982491605,2.70550165412,0.0914244834324,0.0017762004226,62.6400161012,"Bachelor's degree","5 years or more",None
35-1012,"First-Line Supervisors of Food Preparation and Serving Workers",28.1455280059,28.8418145858,30.8808980741,2.03908348826,0.0706988626597,0.00175086746055,24.111,"High school diploma or equivalent","Less than 5 years",None
53-3053,"Shuttle Drivers and Chauffeurs",28.0660469099,28.6289938337,30.0473251314,1.41833129767,0.0495417794252,0.00174592312749,18.882,"No formal educational credential",None,"Short-term on-the-job training"
15-1232,"Computer User Support Specialists",27.9099914262,27.9668535432,28.0123318164,0.045478273238,0.0016261490828,0.00173621528088,32.2581553392,"Some college, no degree",None,None
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",26.8727724468,27.2303403194,28.2488622348,1.01852191533,0.0374039363218,0.00167169231438,28.1436686129,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
39-5093,Shampooers,26.7151870943,27.1225708902,28.2720172606,1.14944637043,0.0423796982626,0.00166188929822,16.8499549791,"No formal educational credential",None,"Short-term on-the-job training"
13-1111,"Management Analysts",25.6229611231,26.3011698645,27.981265275,1.68009541053,0.0638791133317,0.00159394447544,56.4777337062,"Bachelor's degree","Less than 5 years",None
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",24.9385889732,25.541014802,26.9559583255,1.41494352347,0.0553988764519,0.00155137128484,37.8281842197,"High school diploma or equivalent",None,"Long-term on-the-job training"
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",24.8963730807,25.3308542455,26.4514392872,1.12058504168,0.0442379491357,0.00154874513292,35.118,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
25-2021,"Elementary School Teachers, Except Special Education",24.5732341823,24.8674063192,26.0659832358,1.19857691653,0.0481987104381,0.00152864341792,46.5626989014,"Bachelor's degree",None,None
49-9031,"Home Appliance Repairers",24.3786850604,23.3549931426,20.7677375542,-2.58725558833,-0.110779548191,0.00151654097213,22.1406168591,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
25-3099,"Teachers and Instructors, All Other",24.0959643438,24.438409284,25.6819384505,1.24352916647,0.0508842106711,0.00149895357768,37.8654893103,"Bachelor's degree",None,None
53-7065,"Stockers and Order Fillers",23.992721392,24.4257163198,25.7806941061,1.35497778629,0.055473410423,0.00149253107515,19.7230687786,"High school diploma or equivalent",None,"Short-term on-the-job training"
51-9198,"Helpers--Production Workers",22.9583682645,22.7135785061,21.8565106872,-0.857067818908,-0.037733720324,0.0014281863866,20.3441982328,"High school diploma or equivalent",None,"Short-term on-the-job training"
21-1021,"Child, Family, and School Social Workers",22.7758834364,23.7050813189,26.0882240292,2.38314271024,0.100532990297,0.0014168344323,31.563,"Bachelor's degree",None,None
39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",22.54980626,23.1176363085,24.7138012621,1.59616495354,0.0690453354415,0.00140277069998,25.9756738028,"High school diploma or equivalent","Less than 5 years",None
27-4011,"Audio and Video Technicians",22.1388748558,22.4295564505,23.54549287,1.11593641951,0.0497529419263,0.00137720761856,34.5837955427,"Postsecondary nondegree award",None,"Short-term on-the-job training"
13-1028,"Buyers and Purchasing Agents",21.7584970781,22.1413953114,23.2107849512,1.06938963982,0.0482982045522,0.00135354520678,37.3532870525,"Bachelor's degree",None,"Moderate-term on-the-job training"
11-3012,"Administrative Services Managers",21.6250670058,22.0313386553,23.319043993,1.28770533777,0.0584488014061,0.00134524483409,60.441675713,"Bachelor's degree","Less than 5 years",None
29-1141,"Registered Nurses",21.6091779324,21.8918096855,22.9121289329,1.02031924734,0.0466073505112,0.001344256412,54.3484828739,"Bachelor's degree",None,None
11-3013,"Facilities Managers",21.5028313795,21.8420726396,22.6366741567,0.794601517114,0.0363794009032,0.00133764084171,59.6326183285,"Bachelor's degree","Less than 5 years",None
11-2021,"Marketing Managers",20.983105408,21.5486690109,23.0411127645,1.4924437536,0.0692592082068,0.00130530990474,75.408990653,"Bachelor's degree","5 years or more",None
49-9062,"Medical Equipment Repairers",20.9013708487,20.6539142716,20.4093714908,-0.2445427808,-0.0118400211013,0.00130022538899,35.1187952149,"Associate's degree",None,"Moderate-term on-the-job training"
11-9031,"Education and Childcare Administrators, Preschool and Daycare",20.2636292024,20.6080902992,21.8261082245,1.2180179253,0.0591038717135,0.00126055297295,33.489,"Bachelor's degree","Less than 5 years",None
35-2021,"Food Preparation Workers",20.2437320303,20.6886029184,21.9923215795,1.30371866107,0.0630162735594,0.00125931521641,18.1707959321,"No formal educational credential",None,"Short-term on-the-job training"
49-3051,"Motorboat Mechanics and Service Technicians",20.2183873564,19.4275174413,17.4734290625,-1.95408837884,-0.100583534914,0.00125773858354,32.1324071942,"High school diploma or equivalent",None,"Long-term on-the-job training"
15-1252,"Software Developers",19.3794085416,19.8793385867,21.2578145955,1.37847600878,0.0693421465089,0.00120554767397,73.4116993984,"Bachelor's degree",None,None
35-3023,"Fast Food and Counter Workers",19.3531765416,19.7319606973,20.8996228898,1.16766219245,0.0591761868147,0.00120391584261,16.578,"No formal educational credential",None,"Short-term on-the-job training"
11-2032,"Public Relations Managers",19.2186967045,19.8470616683,21.5483854708,1.70132380254,0.0857216967921,0.00119555016652,76.5440325027,"Bachelor's degree","5 years or more",None
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",18.6630664208,18.8597866454,19.3270238622,0.467237216766,0.0247742578191,0.00116098570627,33.025517469,"Postsecondary nondegree award",None,"Long-term on-the-job training"
11-1011,"Chief Executives",18.4831633293,18.8995511254,20.1919578949,1.29240676949,0.0683829346483,0.00114979435577,137.908265227,"Bachelor's degree","5 years or more",None
49-2011,"Computer, Automated Teller, and Office Machine Repairers",17.8677419332,17.4767708069,16.6384726427,-0.838298164112,-0.0479664220225,0.00111151043028,25.2809154164,"Some college, no degree",None,"Short-term on-the-job training"
39-3091,"Amusement and Recreation Attendants",17.1349818264,17.5966588255,18.9323389213,1.33568009584,0.075905324362,0.00106592713807,16.776,"No formal educational credential",None,"Short-term on-the-job training"
23-1011,Lawyers,17.1059347562,17.6867683972,19.0895196633,1.40275126607,0.0793107725827,0.00106412018778,71.2569248935,"Doctoral or professional degree",None,None
15-1299,"Computer Occupations, All Other",16.5546391307,16.9435897464,17.9879634895,1.04437374317,0.0616382808369,0.00102982537649,60.9376143038,"Bachelor's degree",None,None
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",16.3965087144,16.5449747737,17.1721083951,0.627133621407,0.037904779547,0.00101998845318,25.542,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
11-3021,"Computer and Information Systems Managers",16.3533386715,16.8160245523,18.1862081817,1.37018362939,0.0814808294986,0.00101730294579,93.4130432172,"Bachelor's degree","5 years or more",None
39-4012,"Crematory Operators",16.2039007299,16.4048142478,17.0227729249,0.617958677054,0.037669349236,0.001008006761,21.9019745462,"High school diploma or equivalent",None,"Short-term on-the-job training"
51-6052,"Tailors, Dressmakers, and Custom Sewers",16.0270239916,16.0963014702,16.7727344802,0.676433010035,0.042024126554,0.000997003672854,22.533703962,"No formal educational credential",None,"Moderate-term on-the-job training"
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",16.0157886507,16.2134091708,16.9936020708,0.780192900034,0.0481202251676,0.000996304748581,46.3519248372,"Bachelor's degree",None,None
11-9171,"Funeral Home Managers",15.7628461572,15.9898298544,16.707576379,0.717746524531,0.0448876899294,0.000980569787727,41.7430233014,"Associate's degree","Less than 5 years",None
