SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
47-5049,"Underground Mining Machine Operators, All Other",1.16923536722,1.24955696656,1.2543984771,0.00484151053915,0.00387458168671,0.00610224900288,25.0743470458,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
43-1011,"First-Line Supervisors of Office and Administrative Support Workers",1.15396608935,1.14851960104,1.13714091189,-0.0113786891502,-0.00990726596211,0.00602255851605,34.4107740894,"High school diploma or equivalent","Less than 5 years",None
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",1.11412403239,1.11791531426,1.13914963893,0.0212343246655,0.0189945735554,0.00581462249292,26.1051334064,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
51-4121,"Welders, Cutters, Solderers, and Brazers",1.07553739255,1.08044862723,1.10216559854,0.0217169713111,0.0200999573361,0.00561323850206,29.5930260812,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
51-9111,"Packaging and Filling Machine Operators and Tenders",1.0702604502,1.06013654586,1.03434540624,-0.0257911396189,-0.0243281299184,0.00558569809652,18.9780605281,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
17-2051,"Civil Engineers",1.04690795972,1.04337685311,1.04291628246,-0.000460570656932,-0.000441423111466,0.00546382125654,48.7570302453,"Bachelor's degree",None,None
13-2011,"Accountants and Auditors",1.03651661592,1.02449200792,0.991804964551,-0.0326870433692,-0.0319056108945,0.00540958874773,43.1089648075,"Bachelor's degree",None,None
47-5023,"Earth Drillers, Except Oil and Gas",1.03621690539,1.03634184218,1.02568448349,-0.0106573586888,-0.010283632538,0.00540802455601,39.4778199478,"High school diploma or equivalent","Less than 5 years","Long-term on-the-job training"
19-5011,"Occupational Health and Safety Specialists",1.01523007008,1.03410704879,1.10636699495,0.0722599461671,0.0698766595314,0.00529849408986,44.5572118076,"Bachelor's degree",None,None
51-9198,"Helpers--Production Workers",1.01028241558,0.978691650395,0.882874484394,-0.0958171660009,-0.0979033242617,0.00527267224029,20.3441982328,"High school diploma or equivalent",None,"Short-term on-the-job training"
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",0.846493668705,0.888992995912,1.00823749022,0.119244494305,0.134134346224,0.00441785742257,21.1321713901,"No formal educational credential",None,"Short-term on-the-job training"
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",0.824014834264,0.819494106744,0.808092541849,-0.0114015648946,-0.0139129309177,0.00430054020065,24.960404953,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
13-1028,"Buyers and Purchasing Agents",0.803034735742,0.832544583273,0.938399734973,0.1058551517,0.127146526236,0.00419104489382,37.3532870525,"Bachelor's degree",None,"Moderate-term on-the-job training"
47-5081,"Helpers--Extraction Workers",0.788995901483,0.7791359798,0.754685000606,-0.0244509791947,-0.0313821718271,0.0041177761023,24.912897241,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
53-7063,"Machine Feeders and Offbearers",0.78703958026,0.77425414566,0.741351193968,-0.032902951692,-0.0424963196858,0.00410756604575,20.5573787776,"No formal educational credential",None,"Short-term on-the-job training"
43-5071,"Shipping, Receiving, and Inventory Clerks",0.784443912781,0.779646029193,0.76921452861,-0.0104315005835,-0.0133797905625,0.00409401923581,22.6206934293,"High school diploma or equivalent",None,"Short-term on-the-job training"
17-2071,"Electrical Engineers",0.779125854181,0.766775989334,0.735089555472,-0.0316864338625,-0.0413242385042,0.00406626424422,58.9190900486,"Bachelor's degree",None,None
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",0.765604694953,0.757043419551,0.733983285498,-0.0230601340529,-0.0304607813202,0.00399569720294,23.4425770211,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
53-7021,"Crane and Tower Operators",0.75939786141,0.741727456219,0.691390922022,-0.0503365341966,-0.0678639219495,0.00396330368761,49.2053594648,"High school diploma or equivalent","Less than 5 years","Moderate-term on-the-job training"
11-9021,"Construction Managers",0.716405985596,0.717624424867,0.724695913247,0.00707148837978,0.00985402410334,0.00373892873397,60.1869901881,"Bachelor's degree",None,"Moderate-term on-the-job training"
49-9043,"Maintenance Workers, Machinery",0.627886279427,0.63679748689,0.662475409954,0.0256779230636,0.0403235307805,0.00327694365906,37.8698473861,"High school diploma or equivalent",None,"Long-term on-the-job training"
11-9199,"Managers, All Other",0.616510501124,0.616829808304,0.622202401273,0.00537259296813,0.00871000865361,0.00321757337849,77.931619307,"Bachelor's degree","Less than 5 years",None
17-2081,"Environmental Engineers",0.616178112882,0.606590823348,0.58204975873,-0.0245410646181,-0.0404573621517,0.00321583864152,50.592377185,"Bachelor's degree",None,None
