SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
29-2043,Paramedics,481.35281298,490.091806049,521.314698306,31.2228922565,0.0637082519462,0.00481044405496,66.2190553577,"Postsecondary nondegree award",None,None
43-4199,"Information and Record Clerks, All Other",475.346778137,474.123879035,467.457595769,-6.66628326606,-0.0140602141357,0.00475042218778,23.7008419508,"High school diploma or equivalent",None,"Short-term on-the-job training"
35-3023,"Fast Food and Counter Workers",472.760827442,477.769542703,489.81713546,12.0475927577,0.0252163264521,0.00472457924927,16.578,"No formal educational credential",None,"Short-term on-the-job training"
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",464.598586725,471.863239227,496.456745587,24.5935063599,0.0521199879868,0.00464300913838,42.5591544539,"High school diploma or equivalent","Less than 5 years",None
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",459.925161216,461.281180984,460.378572602,-0.902608382426,-0.00195674226401,0.00459630482639,25.317339862,"Some college, no degree",None,"Moderate-term on-the-job training"
25-2012,"Kindergarten Teachers, Except Special Education",457.253745344,461.844269641,472.738255536,10.8939858942,0.0235880070628,0.00456960778369,44.978647538,"Bachelor's degree",None,None
21-1012,"Educational, Guidance, and Career Counselors and Advisors",456.367741656,461.78798844,476.061367699,14.273379259,0.0309089443994,0.00456075342352,39.3310050861,"Master's degree",None,None
33-1012,"First-Line Supervisors of Police and Detectives",455.867879011,465.303343353,493.932765301,28.6294219482,0.0615285111469,0.00455575799975,72.1109932654,"High school diploma or equivalent","Less than 5 years","Moderate-term on-the-job training"
29-1229,"Physicians, All Other",443.925825256,446.342983969,454.272406984,7.9294230148,0.0177653134464,0.00443641397611,135.220059175,"Doctoral or professional degree",None,Internship/residency
13-1031,"Claims Adjusters, Examiners, and Investigators",433.974444473,426.066429196,397.466033424,-28.6003957713,-0.0671266117477,0.00433696392775,36.0151792245,"High school diploma or equivalent",None,"Long-term on-the-job training"
